pollster,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,candidate_name,pct
YouGov,2.6,1.7,Mixed-mode,0,07/02/2040,05/06/2041,Kamala Harris,34.5
SurveyMonkey,1.6,3.3,In-person,2,07/09/2040,05/13/2041,Elizabeth Warren,2.8
Gallup,2.1,3.8,Mixed-mode,1,07/16/2040,05/20/2041,Kamala Harris,90.9
Gallup,2.4,3.7,Online Panel,0,07/23/2040,05/27/2041,Elizabeth Warren,7.1
Gallup,2,-1.6,Mixed-mode,3,07/30/2040,06/03/2041,Donald Trump,30.9
YouGov,1.2,4.3,Online Panel,7,08/06/2040,06/10/2041,Bernie Sanders,64.1
SurveyMonkey,1.8,3.2,Online Panel,0,08/13/2040,06/17/2041,Donald Trump,77.2
Pew Research,2.6,3.5,Online Panel,2,08/20/2040,06/24/2041,Gavin Newsom,7.1
SurveyMonkey,2.7,4,In-person,3,08/27/2040,07/01/2041,Gavin Newsom,49.6
SurveyMonkey,1.4,-0.4,Mixed-mode,4,09/03/2040,07/08/2041,Pete Buttigieg,57.4
Ipsos,2.1,2.9,Mixed-mode,9,09/10/2040,07/15/2041,Kamala Harris,47.5
Ipsos,2.2,-0.4,Mixed-mode,1,09/17/2040,07/22/2041,Elizabeth Warren,33.1
SurveyMonkey,1.6,2.4,Mixed-mode,7,09/24/2040,07/29/2041,Kamala Harris,10.7
YouGov,2.7,4.5,In-person,5,10/01/2040,08/05/2041,Gavin Newsom,64.4
Gallup,2.9,0.9,Mixed-mode,0,10/08/2040,08/12/2041,Donald Trump,44.9
Ipsos,2.6,0.5,In-person,0,10/15/2040,08/19/2041,Gavin Newsom,18.3
YouGov,1,4.5,In-person,0,10/22/2040,08/26/2041,Bernie Sanders,82.4
Gallup,1.4,1.6,Online Panel,2,10/29/2040,09/02/2041,Gavin Newsom,66.2
Ipsos,2.7,-1.6,Online Panel,3,11/05/2040,09/09/2041,Pete Buttigieg,26.4
Gallup,3,1.1,Mixed-mode,7,11/12/2040,09/16/2041,Bernie Sanders,99
SurveyMonkey,1.9,-1,Mixed-mode,0,11/19/2040,09/23/2041,Donald Trump,18
Pew Research,2.3,1.2,Telephone,7,11/26/2040,09/30/2041,Kamala Harris,90
Gallup,2.6,3.5,Online Panel,5,12/03/2040,10/07/2041,Gavin Newsom,55.1
YouGov,2.8,-1.2,In-person,1,12/10/2040,10/14/2041,Bernie Sanders,4.2
YouGov,3,2.8,Telephone,4,12/17/2040,10/21/2041,Kamala Harris,56.7
YouGov,1.4,2,Telephone,9,12/24/2040,10/28/2041,Elizabeth Warren,34.1
Gallup,1.5,2.9,In-person,5,12/31/2040,11/04/2041,Bernie Sanders,69.1
Gallup,2.6,4.8,In-person,4,01/07/2041,11/11/2041,Kamala Harris,55.1
Gallup,2.8,-0.8,In-person,9,01/14/2041,11/18/2041,Bernie Sanders,75
SurveyMonkey,2.4,-1.3,Mixed-mode,3,01/21/2041,11/25/2041,Bernie Sanders,3
Pew Research,2,-1.4,Online Panel,7,01/28/2041,12/02/2041,Donald Trump,35.7
Gallup,1.7,0.8,Mixed-mode,8,02/04/2041,12/09/2041,Gavin Newsom,74.4
YouGov,2.5,2.4,Telephone,4,02/11/2041,12/16/2041,Elizabeth Warren,39.4
Ipsos,2.2,4.5,Telephone,6,02/18/2041,12/23/2041,Bernie Sanders,48
Ipsos,1.4,0.4,Telephone,6,02/25/2041,12/30/2041,Pete Buttigieg,82.2
Pew Research,2.3,1.4,In-person,8,03/04/2041,01/06/2042,Kamala Harris,81.3
Pew Research,2.5,2.2,Telephone,2,03/11/2041,01/13/2042,Pete Buttigieg,43.1
Pew Research,2.8,-0.7,Online Panel,4,03/18/2041,01/20/2042,Donald Trump,42.3
Ipsos,2.1,-0.2,Online Panel,5,03/25/2041,01/27/2042,Donald Trump,7.8
YouGov,2.9,2.5,Mixed-mode,6,04/01/2041,02/03/2042,Elizabeth Warren,50.9
Pew Research,2,0.8,Telephone,4,04/08/2041,02/10/2042,Gavin Newsom,44
Gallup,2.4,0,Online Panel,7,04/15/2041,02/17/2042,Bernie Sanders,5.9
Ipsos,2.5,3.7,Online Panel,2,04/22/2041,02/24/2042,Gavin Newsom,70.6
SurveyMonkey,2.9,4.6,In-person,6,04/29/2041,03/03/2042,Bernie Sanders,39.5
SurveyMonkey,2.8,0.2,In-person,2,05/06/2041,03/10/2042,Donald Trump,46
SurveyMonkey,1.2,0.1,Mixed-mode,0,05/13/2041,03/17/2042,Elizabeth Warren,64.7
SurveyMonkey,2.2,-0.6,Mixed-mode,4,05/20/2041,03/24/2042,Donald Trump,80.1
SurveyMonkey,2.4,2.3,Online Panel,8,05/27/2041,03/31/2042,Pete Buttigieg,41
YouGov,2.3,0.7,Online Panel,7,06/03/2041,04/07/2042,Donald Trump,14.1
Ipsos,1.6,2.3,Mixed-mode,9,06/10/2041,04/14/2042,Elizabeth Warren,80.6
Pew Research,1.1,-1.9,Online Panel,6,06/17/2041,04/21/2042,Gavin Newsom,73.9
Ipsos,2,-0.9,Telephone,3,06/24/2041,04/28/2042,Elizabeth Warren,1.7
Gallup,2.5,-1.4,Telephone,5,07/01/2041,05/05/2042,Gavin Newsom,100
Ipsos,2,-1.7,In-person,4,07/08/2041,05/12/2042,Gavin Newsom,41.5
SurveyMonkey,1.5,4.4,Online Panel,1,07/15/2041,05/19/2042,Gavin Newsom,25.6
Ipsos,2,-1.5,Online Panel,3,07/22/2041,05/26/2042,Kamala Harris,73.8
YouGov,2.6,4.3,In-person,0,07/29/2041,06/02/2042,Bernie Sanders,49.5
YouGov,2.7,-1.8,Online Panel,0,08/05/2041,06/09/2042,Donald Trump,80.1
Pew Research,1.9,4,Mixed-mode,4,08/12/2041,06/16/2042,Pete Buttigieg,81.3
SurveyMonkey,2.6,-0.6,Telephone,4,08/19/2041,06/23/2042,Donald Trump,67
Gallup,2.3,2.8,Telephone,3,08/26/2041,06/30/2042,Donald Trump,20.1
Pew Research,2.9,2.4,Mixed-mode,8,09/02/2041,07/07/2042,Donald Trump,46.5
YouGov,1.2,3.3,Mixed-mode,9,09/09/2041,07/14/2042,Gavin Newsom,33.8
Pew Research,2,3.9,Mixed-mode,3,09/16/2041,07/21/2042,Bernie Sanders,83.5
YouGov,1.6,1.8,In-person,9,09/23/2041,07/28/2042,Kamala Harris,49.6
YouGov,2.7,3,Mixed-mode,0,09/30/2041,08/04/2042,Pete Buttigieg,93
SurveyMonkey,1.1,-0.1,Telephone,9,10/07/2041,08/11/2042,Pete Buttigieg,39.5
SurveyMonkey,1.3,-1.9,Online Panel,2,10/14/2041,08/18/2042,Elizabeth Warren,51.4
Gallup,1.3,1,In-person,0,10/21/2041,08/25/2042,Pete Buttigieg,23.1
Gallup,2.1,3.1,Online Panel,8,10/28/2041,09/01/2042,Elizabeth Warren,35.1
Pew Research,2,4,Online Panel,3,11/04/2041,09/08/2042,Pete Buttigieg,37.2
Gallup,2.8,-0.8,In-person,2,11/11/2041,09/15/2042,Elizabeth Warren,87.4
Gallup,2.2,0.6,Mixed-mode,2,11/18/2041,09/22/2042,Elizabeth Warren,2.7
YouGov,2.8,1.2,Online Panel,4,11/25/2041,09/29/2042,Bernie Sanders,29.3
Pew Research,2.8,1.1,Mixed-mode,5,12/02/2041,10/06/2042,Elizabeth Warren,2.9
Gallup,1.6,-1.6,Online Panel,3,12/09/2041,10/13/2042,Donald Trump,22.3
YouGov,1.7,0.7,Telephone,6,12/16/2041,10/20/2042,Pete Buttigieg,35
SurveyMonkey,2.5,2.1,Mixed-mode,4,12/23/2041,10/27/2042,Elizabeth Warren,20.3
Gallup,1.8,4.5,Mixed-mode,3,12/30/2041,11/03/2042,Kamala Harris,50
Gallup,1.8,0.6,Mixed-mode,7,01/06/2042,11/10/2042,Pete Buttigieg,77.3
SurveyMonkey,1.6,4.2,Online Panel,0,01/13/2042,11/17/2042,Elizabeth Warren,72.8
SurveyMonkey,1.4,2,In-person,4,01/20/2042,11/24/2042,Gavin Newsom,7.6
SurveyMonkey,2.1,3.3,Online Panel,4,01/27/2042,12/01/2042,Pete Buttigieg,66.5
Pew Research,1.2,0.2,Telephone,7,02/03/2042,12/08/2042,Pete Buttigieg,7.2
Pew Research,2.7,2.3,Online Panel,4,02/10/2042,12/15/2042,Kamala Harris,23
YouGov,2.7,-1.5,Mixed-mode,8,02/17/2042,12/22/2042,Elizabeth Warren,93.9
Gallup,1.6,3,In-person,8,02/24/2042,12/29/2042,Bernie Sanders,38.8
YouGov,1.3,0.4,In-person,4,03/03/2042,01/05/2043,Elizabeth Warren,75.6
SurveyMonkey,2.3,-1.1,Online Panel,3,03/10/2042,01/12/2043,Gavin Newsom,59.2
Pew Research,2.8,-0,Telephone,2,03/17/2042,01/19/2043,Kamala Harris,72.8
SurveyMonkey,1.3,1.8,In-person,1,03/24/2042,01/26/2043,Elizabeth Warren,99.1
Ipsos,2.1,3.9,Telephone,2,03/31/2042,02/02/2043,Elizabeth Warren,93
YouGov,1.7,0.6,Mixed-mode,5,04/07/2042,02/09/2043,Elizabeth Warren,95.4
Gallup,1.6,-0.9,Telephone,1,04/14/2042,02/16/2043,Kamala Harris,76.7
YouGov,2.8,5,Online Panel,6,04/21/2042,02/23/2043,Elizabeth Warren,97.2
Gallup,1.7,3.7,Online Panel,9,04/28/2042,03/02/2043,Donald Trump,33.9
Pew Research,2.2,0.2,Online Panel,7,05/05/2042,03/09/2043,Kamala Harris,1.7
YouGov,2.9,-1.1,Telephone,6,05/12/2042,03/16/2043,Bernie Sanders,41.2
SurveyMonkey,2.9,4.6,Telephone,0,05/19/2042,03/23/2043,Elizabeth Warren,6.1
YouGov,1.7,1.3,In-person,4,05/26/2042,03/30/2043,Bernie Sanders,40.1
Ipsos,2.4,0.6,Mixed-mode,7,06/02/2042,04/06/2043,Kamala Harris,0.5
Ipsos,2.1,4.2,In-person,9,06/09/2042,04/13/2043,Kamala Harris,95.4
Pew Research,1.5,1.6,Online Panel,3,06/16/2042,04/20/2043,Elizabeth Warren,78.1
YouGov,1.2,-1.4,Online Panel,0,06/23/2042,04/27/2043,Bernie Sanders,42.9
SurveyMonkey,1.9,1.7,Telephone,4,06/30/2042,05/04/2043,Pete Buttigieg,77.1
Pew Research,1.7,3.1,In-person,9,07/07/2042,05/11/2043,Bernie Sanders,49.4
SurveyMonkey,2.4,3.1,Telephone,2,07/14/2042,05/18/2043,Donald Trump,37.6
YouGov,3,4.2,Online Panel,6,07/21/2042,05/25/2043,Elizabeth Warren,11.7
Pew Research,1.6,0,Telephone,5,07/28/2042,06/01/2043,Kamala Harris,41.5
Gallup,2.1,3.2,Online Panel,5,08/04/2042,06/08/2043,Gavin Newsom,14.5
SurveyMonkey,2.4,-1.7,Mixed-mode,6,08/11/2042,06/15/2043,Bernie Sanders,56.9
Ipsos,2.9,3,In-person,8,08/18/2042,06/22/2043,Pete Buttigieg,39
Ipsos,2.4,-0.2,In-person,9,08/25/2042,06/29/2043,Gavin Newsom,63.8
Ipsos,1.8,2.2,Online Panel,2,09/01/2042,07/06/2043,Gavin Newsom,52.3
Ipsos,1,4.1,In-person,6,09/08/2042,07/13/2043,Bernie Sanders,0.6
Pew Research,2.1,1.9,In-person,2,09/15/2042,07/20/2043,Elizabeth Warren,87.6
Gallup,1.3,-0.8,In-person,4,09/22/2042,07/27/2043,Bernie Sanders,45.7
Ipsos,1.2,4.9,Mixed-mode,5,09/29/2042,08/03/2043,Donald Trump,38.9
SurveyMonkey,2.8,1.9,Mixed-mode,4,10/06/2042,08/10/2043,Donald Trump,8.4
Gallup,1.8,1.2,Online Panel,6,10/13/2042,08/17/2043,Elizabeth Warren,21.4
SurveyMonkey,1.5,0.8,Telephone,1,10/20/2042,08/24/2043,Pete Buttigieg,44.1
Pew Research,1.7,2.3,Telephone,8,10/27/2042,08/31/2043,Pete Buttigieg,98.1
YouGov,2.5,-0.5,In-person,6,11/03/2042,09/07/2043,Pete Buttigieg,16.7
Pew Research,2.1,-0.3,Mixed-mode,1,11/10/2042,09/14/2043,Gavin Newsom,81.8
YouGov,2.2,4.1,Telephone,3,11/17/2042,09/21/2043,Gavin Newsom,95.9
Ipsos,2.8,-0.3,Mixed-mode,8,11/24/2042,09/28/2043,Elizabeth Warren,51.4
Ipsos,1.8,-0,Telephone,6,12/01/2042,10/05/2043,Gavin Newsom,81.6
SurveyMonkey,1.7,1.8,Mixed-mode,7,12/08/2042,10/12/2043,Donald Trump,73.1
SurveyMonkey,2.6,4.4,In-person,8,12/15/2042,10/19/2043,Pete Buttigieg,71.5
YouGov,2.7,0.2,Mixed-mode,0,12/22/2042,10/26/2043,Pete Buttigieg,23.6
YouGov,2.4,0.4,Mixed-mode,8,12/29/2042,11/02/2043,Gavin Newsom,30.1
Ipsos,1.6,4.7,Mixed-mode,5,01/05/2043,11/09/2043,Elizabeth Warren,96.7
Gallup,2.1,3.2,Telephone,8,01/12/2043,11/16/2043,Pete Buttigieg,18.4
YouGov,2.5,3.9,In-person,9,01/19/2043,11/23/2043,Pete Buttigieg,82.2
SurveyMonkey,1.3,-1.8,Online Panel,9,01/26/2043,11/30/2043,Gavin Newsom,80.4
Ipsos,1.3,0.8,Telephone,2,02/02/2043,12/07/2043,Kamala Harris,17.3
Gallup,1.3,3.9,Mixed-mode,1,02/09/2043,12/14/2043,Kamala Harris,36.1
SurveyMonkey,1.4,3.5,Mixed-mode,1,02/16/2043,12/21/2043,Bernie Sanders,29
YouGov,1.5,-0.8,In-person,7,02/23/2043,12/28/2043,Donald Trump,54.2
